Location,Hospital_Name,State,District,Pincode
"12-2-979,3Rd Cross, Sai Nagar, Anantapur",Pavani Multi Speciality Hospital,Andhra Pradesh,Anantapur,515001
"346, Court Road,.",Prasanthi Nursing Home,Andhra Pradesh,Anantapur,515001
"12/2/991, Sai Nagar,Main Road, Anantpur",Priya Multispeciality Hospital,Andhra Pradesh,Anantapur,515001
"15-16, Kamala Nagar, Anantapur",Ravitej Nursing Home,Andhra Pradesh,Anantapur,515001
"Near R.T.C, Bus Stand, Anantapur",Santhi Nursing Home,Andhra Pradesh,Anantapur,515001
"12-3-216, Sai Nagar Main Road, 5Th Cross,Beside Veterinary Hospital, Anantpur,",Sri Prakash Eye Hospital,Andhra Pradesh,Anantapur,515001
"Door No-14-324, Bank Of Baroda Lane, Kamala Nagar Iii Cross, Anantapur",Sri Sai Balaji Hospital,Andhra Pradesh,Anantapur,515001
"10/368, Sarojini Road, Anantapur",Sri Sai Kurpa Nursing Home,Andhra Pradesh,Anantapur,515001
Anantapur,Sri Sai Venkateshwara Surgical Clinic,Andhra Pradesh,Anantapur,515001
"Hospital Road,Anantapur-515001",Sudhir Surgical Clinic,Andhra Pradesh,Anantapur,515001
"12-2-870,1St Cross,Sai Nagar,Anantapur",Suma Eye Clinic,Andhra Pradesh,Anantapur,515001
"12/350-A,1St Cross,Sai Nagar,Anantapur",Swetha Ent Hospital,Andhra Pradesh,Anantapur,515001
"Snechalatha Healthcare Complex, Khaja Nagar, Opp To Ganga Gouri Cinema Complex",Vaatsalya Hospital(Ananthapur),Andhra Pradesh,Anantapur,515001
"D. No.14/224, Kamala Nagar",Varun Children's Hospital,Andhra Pradesh,Anantapur,515001
"7/201, Court Road",Venkat Sai Health Care Pvt Ltd ( Apollo Hospitals),Andhra Pradesh,Anantapur,515001
"Navodaya Colony, Anantpur",Vijaya Nursing Home,Andhra Pradesh,Anantapur,515001
Adimurthy Nagar Guild Of Service Road,Divyasree Hospital,Andhra Pradesh,Anantapur,515002
"12-2-865, 1St Cross, Sai Nagar",Mamatha Nursing Home,Andhra Pradesh,Anantapur,515004
"28-639-1, Behind Sangamesh Funtion Hall, Anantapur",Anantapuram Praja Vaidyasala,Andhra Pradesh,Anantapur,515005
"M.F. Road,.",Balaji Nursing Home,Andhra Pradesh,Anantapur,515201
"Opposite R.T.C Bus Stand, Hindupur (Po) Anantapur",Dr B V Syamala Ratnam Hospiatal,Andhra Pradesh,Anantapur,515201
"18-1-167, M F Road, Hindupur",Girish Multispeciality Hospital,Andhra Pradesh,Anantapur,515201
"R.P.G.T Road, Near Sreenivasa Theatre, Hindupur, Anantpur, (A.P)-515201",Shilpa Hospital,Andhra Pradesh,Anantapur,515201
Beside Sreenivasa Talkies R.P.G.T. Road. Hindupur,Sreenivasa Nursing Home,Andhra Pradesh,Anantapur,515201
R.P and G.T Road Hindupur--515201,Teja Nursing Home,Andhra Pradesh,Anantapur,515201
"1/531A-3, East Palem, C B Road, Tadaptri",Sharada Nursing Home and Falvia P Reddy Diagnostic,Andhra Pradesh,Anantapur,515411
"C.B Road, Tadpatri",Sri Kanchani Hospital,Andhra Pradesh,Anantapur,515411
"14/10-3, Bukkapatnam Street,",Sri Veja Hospital,Andhra Pradesh,Anantapur,515411
"Near Andhra Bank, Byepass Road, Kadiri",Azad Diabetic Centre,Andhra Pradesh,Anantapur,515591
"Beside Sudharsan Theatre, R.S.Road, Dharmavaram, Anantapur ()",Devi Nursing Home,Andhra Pradesh,Anantapur,515671
"Near Saibaba Temple, Parthasaradhi Nagar, Dharmavaram",Spandana Hospital,Andhra Pradesh,Anantapur,515671
"Thilak Nagar, Guntakal",Preethi Nursing Home,Andhra Pradesh,Anantapur,515801
"2-1254/1, Officecers Line, Kongareddipalli",Babu Nursing Home - Chittoor,Andhra Pradesh,Chittoor,517001
"22-339/2, Opposite Sbi Colony, Kongareddy Patte, Chitoor,",Dr. Agarwals Eye Hospital Ltd.,Andhra Pradesh,Chittoor,517001
"No.17-433, Lakshmi Complex, Sundarayyar Street,Chittoor,",Dr. Ramalakshmi Nursing Home,Andhra Pradesh,Chittoor,517001
"No. 20-142/1, Near Raghava Theatre, Naidu Building, Chittoor",Dr. V. K. R. Nursing Home and Scan Centre,Andhra Pradesh,Chittoor,517001
"D.No:17-284,T.V.Naidu St,.",Lakshmi Hospital,Andhra Pradesh,Chittoor,517001
2-55/1 Municipal Office Road Near New Rtc Bus Stand,Ravi Nursing Home - Chitoor,Andhra Pradesh,Chittoor,517001
"2-1250, Officers Lane,.",S.M.Clinic,Andhra Pradesh,Chittoor,517001
"2-63/1, Officers Lane Opp: Municipal Office Opp: Municipal Office Chittoor 517001  Chittoor",Sreelatha Modern Eye Hospital And Research Centre,Andhra Pradesh,Chittoor,517001
"2-1090, Padmavathi Nagar, Piler, Chittoor",Sujatha Nursing Home,Andhra Pradesh,Chittoor,517001
Aragonda Thavanampalle Mandal,Apollo Hospitals Aragonda,Andhra Pradesh,Chittoor,517129
Opp:Tn Petrol Bunk Punganur Punganur 517247  Chittoor,Balaji Hospital,Andhra Pradesh,Chittoor,517247
Gokul Theater Road Punganur Punganur 517247  Chittoor,Vijaya Nursing Home,Andhra Pradesh,Chittoor,517247
"Opposite R.T.C. Bus Stand, C.T.M. Road, Madanapalle- Chittoor ()",Balaji Multi Speciality Hospital,Andhra Pradesh,Chittoor,517325
Near Rtc Bus Stand Chittoor Madanapalli 517325  Chittoor,Bhavya Child Care Center,Andhra Pradesh,Chittoor,517325
R T C Bus Stand Madanpalle -,Bhavyas Children Hospital,Andhra Pradesh,Chittoor,517325
14/2A Ctm Road Beside Icici Bank Madanapalli 517325  Chittoor,Chandra Mohan's Nursing Home,Andhra Pradesh,Chittoor,517325
"Door No.Iii -153-4-3-1, Near Rtc Bus Stand, Madanapalle - 517325",Desai Hospital,Andhra Pradesh,Chittoor,517325
"No. 3-153-4-3-1, Near Rtc Bus Stand,",Desai Hospital-Madanapalli,Andhra Pradesh,Chittoor,517325
"Near R.T.C.Busstand,C.T.M.Road.",Emergency Hospital,Andhra Pradesh,Chittoor,517325
",C.T.M.Road.",Gupta Nursing Home,Andhra Pradesh,Chittoor,517325
"15-37, Burma St,,C.T.M. Road .",Kathasagaram Hospitals,Andhra Pradesh,Chittoor,517325
",C.T.M.Road.",Leo Hospital,Andhra Pradesh,Chittoor,517325
"C.T.M Road(Opp State Bank Of India) Madanapalle, Chittoor",M.V.L Hospital,Andhra Pradesh,Chittoor,517325
"C.T.M Road, Madanapalle",Madanapalle Hospital Pvt Ltd,Andhra Pradesh,Chittoor,517325
"Gandhi Road,Gandhi Road.",Popular Nursing Home,Andhra Pradesh,Chittoor,517325
"Iv-5-3, Marpoori Colony, Madanapalle",Rama Orthopaedic Nursing Home,Andhra Pradesh,Chittoor,517325
"Devi Complex, OppositeSreenivasa Super Market, C.T.M.Road, Madanapalle -517325",Shantharam Hospital,Andhra Pradesh,Chittoor,517325
"(A Unit Of Lvpei,), Bangalore Road, Madanpalle,",Siloam Eye Centre,Andhra Pradesh,Chittoor,517325
"14-26, Old Andhra Bank Building,C.T.M.Road.",Siloam Orthopaedic and Trauma Centre,Andhra Pradesh,Chittoor,517325
"Xvi-618,Seshappa Bungalow,Seshappa Thota,OppositeA.D.S, Punganur Road, Madanapalle,Anantapur,",Sri Kaveri Speciality Hospital,Andhra Pradesh,Chittoor,517325
"Ganesh Hotel Compound, Near .R.T.C Bus Stand,Madanapalle",Usha Speciality Hospital,Andhra Pradesh,Chittoor,517325
"D No 11-70, Patel Road Chittoor Madanapalli 517325  Chittoor",Viswa Orthopaedic Hospital,Andhra Pradesh,Chittoor,517325
"Borugulabatti, Thasildhar Street Newpet",Saraswathi Maternity Nursing Home,Andhra Pradesh,Chittoor,517408
"Kuppam Palmaner Road,  - Chittoor",P E S Institute Of Medical Sciences and Research,Andhra Pradesh,Chittoor,517425
"Palace Road, Kuppam",Rathna Childrens and General Hospital,Andhra Pradesh,Chittoor,517425
"A P Vajraveluchetty Street, A P Vajraveluchetty Street Kuppam 517425  Chittoor",Sri Priya Nursing Home,Andhra Pradesh,Chittoor,517425
"D.No :10-15-189/I2, K.K. Layout, Tirupati, Chittoor",Apollo Multispeciality Hospital,Andhra Pradesh,Chittoor,517501
"Aragonda Apollo Hospitals, Aragonda Village, Thavanam Palli Mandal",Apollo Rural Hospitals,Andhra Pradesh,Chittoor,517501
"10-15-76/10-3-206(U, Reddy and Reddy Colony Tirupati-Ap",Asalatha Medicare Pvt Lt,Andhra Pradesh,Chittoor,517501
Tirupti (B.I.R.R.D),Balaji Institute Of Surgery Research And Rehabilit,Andhra Pradesh,Chittoor,517501
"413-7-939/H2/C,Both Hospital Both Hospital Road, Tuda Road Tirupati 517501  Chittoor",Balaji Orthopaedic And Trauma Hospital,Andhra Pradesh,Chittoor,517501
"No. 13-4-392/B5, Tilak Road, Chitoor, Tirupati,",Bhaskar Allergy and Chest Hospital,Andhra Pradesh,Chittoor,517501
"398A, Doddapuram Street, Tirupati",Clinic Nisha,Andhra Pradesh,Chittoor,517501
"18-1-505, Mosque Road Opp: Vv Mahal Mosque Road Tirupati 517501  Chittoor",Dbr And Sk Super Speciality Hospital,Andhra Pradesh,Chittoor,517501
Nehru Nagar Behind Jyothi Talkies Tirupati (Chittoor),Eye Care Centre and Contact Lens Clinic,Andhra Pradesh,Chittoor,517501
"10- 13, 484* 485, V.V. Mahal Road Beside Bank Of Baroda",Gayatri Hospital Tirupati,Andhra Pradesh,Chittoor,517501
"10-13-568,Reddy and Reddy Colony,Chittoor.",Harshitha Hospital,Andhra Pradesh,Chittoor,517501
"6-1-175A, Varadraja Nagar (Opposite Varadaraja Swamy Temple),K.T.Road",Lotus Emergency Hosptial,Andhra Pradesh,Chittoor,517501
"D No: 18-2-263, Road No-1, Abbanna Colony Near : Tirumala Bye Mass Road",M S Hospital,Andhra Pradesh,Chittoor,517501
"138/A, T.K Street, Above I.N.G Vysya Bank Besides Srinivasa Theatre, Tirupati,Chittoor,",M.M Hospital,Andhra Pradesh,Chittoor,517501
"20-5-746 F, Tirumala Bye Pass Road, Karlagunta",M/S Sapthagiri Eye Care Centre,Andhra Pradesh,Chittoor,517501
"548, R.R. Colony,Tirupati-",Manohari Nursing Home,Andhra Pradesh,Chittoor,517501
"538,Second Street,OppositeAgarala Eswara, Degree College, Reddy and Reddy Colony, Tirupati,",Meghana Hospital,Andhra Pradesh,Chittoor,517501
"6-2-145, Opposite Bhavani Nagar, Anjaneya Tample",Mother Hospital,Andhra Pradesh,Chittoor,517501
2-2-349 K.V. Layout,Navya Netralaya Eye Hospital,Andhra Pradesh,Chittoor,517501
"18-2-246, Road No-1 Abbanna Colony Tirupati",Neelima Maternity Nursing Home,Andhra Pradesh,Chittoor,517501
"18-2-73, F1, Korlagunta Main Road, Beside New Municipal Corportion Off., Tirupati,",Nirmala Hospitals,Andhra Pradesh,Chittoor,517501
"10-13-486, Reddy and Reddy Colony, Chittor, Tirupati,",Om Children Surgical Superspeciality Centre,Andhra Pradesh,Chittoor,517501
10 - 3 - 206 Kotakommala Street Tirupati,Prameela Hospital,Andhra Pradesh,Chittoor,517501
": 410, Tilak Road Tilak Road Tirupati 517501  Chittoor",Prashanth Hospital,Andhra Pradesh,Chittoor,517501
"6-7-556,Rhjare Rama Hare Krishna Road, Beside Fedaral Bank Tirupathi",Purna's Remedy Hospital - Tirupathi,Andhra Pradesh,Chittoor,517501
"10-14-576/6, 1St Street, 1St Street: Opp Muncipal Office Reddy and Reddy Colony Tirupati 517501  Chittoor",Raghavendra Urological Super Speciality Hospital (Russh Hospital),Andhra Pradesh,Chittoor,517501
"535, Reddy and Reddy Colony, Tirupati",Rama Nursing Home,Andhra Pradesh,Chittoor,517501
"16-2-156, Sairam Street, Tirupathi, Chitoor Dst., Andhrapradesh",Ramadevi Multi Super Speciality Hospital,Andhra Pradesh,Chittoor,517501
"-4-566, Nehru Nagar, Tirupathi, Chittoor",Ramya Hospital,Andhra Pradesh,Chittoor,517501
"576, Opposite To Muncipal Office Opposite To Muncipal Office, Tirupati",Ravi Neuro and Emergency Hospital - Chittoor,Andhra Pradesh,Chittoor,517501
"548, Reddy and Reddy Colony,Tirupati-517501",Sakthi Medicals,Andhra Pradesh,Chittoor,517501
"101, Sarojinideavi Road, Tirupati",Shyamala Nursing Home,Andhra Pradesh,Chittoor,517501
"D. No-1/33, Sree Ram Nagar, Akkaram Palli Road, Tirupati",Sree Emergency and Crticial Care Hospital,Andhra Pradesh,Chittoor,517501
"10-13-496, Reddy and Reddy Colony, Tirupati",Sri Chakra Hospitals,Andhra Pradesh,Chittoor,517501
"6-1-46, R.S.Gardens Tirupathi",Sri Padmavathi Multi Speciality Hospital,Andhra Pradesh,Chittoor,517501
T S 82 Sai Ram Street Opp: Bhavani Nagar Tirupati 517501  Chittoor,Sri Ramadevi Multi Super Speciality Hospital,Andhra Pradesh,Chittoor,517501
"6-2-105, Old Maternity Road, Beside Rajanna Park",Sri Sai Ortho Care,Andhra Pradesh,Chittoor,517501
"521, Reddy and Reddy Colony, Chittor, Tirupati,",Sri Sai Sudha Hospitals,Andhra Pradesh,Chittoor,517501
Tirupathi,Sri Suraksha Hospital,Andhra Pradesh,Chittoor,517501
"No-15-2-79 G.S Mada Street Ggovinda Raja Swamy Temple, Chittoor",Sri Venkata Sai Hrudayalaya (The Heart Care Centre) - Tirupati,Andhra Pradesh,Chittoor,517501
Tirupati,Sri Venkateshwara Institute Of Medical Sciences,Andhra Pradesh,Chittoor,517501
"No. 20-03-88G, Siva Jyothi Nagar,",Sri Venkateswara Hospitals,Andhra Pradesh,Chittoor,517501
"10-2-138, Opp: Saibaba Temple, Beside Pasuparthy Super Market T. K. Street",Sri Vignesh Hospital,Andhra Pradesh,Chittoor,517501
"216, T.Nagar, Behind Thyagaraja Mandapam, Tirupati",Srinivasa Super Speciality Hospital,Andhra Pradesh,Chittoor,517501
"515,Reddy Reddy Colony, Tirupati",Suguna Nursing Home,Andhra Pradesh,Chittoor,517501
"326,Nethaji Road,Tirupathi",Sviss Hospital,Andhra Pradesh,Chittoor,517501
"6-2-91, Maternity Hospital Road, Opp S V Bala Mandiram School, Tirupati",Swaranamrutha Hospital,Andhra Pradesh,Chittoor,517501
"Opp Bhavani Nagar Circle, Maternity Road",Swarnamrutha Hospital,Andhra Pradesh,Chittoor,517501
"Near New Municipal Office, Devendra Theatre, 18-1-664, Bhavani Nagar, 2Nd Street",Swetha Childrens Hospital,Andhra Pradesh,Chittoor,517501
"525,Reddy  and Reddy Colony,Tirupathi-",Triveni Child Care Hospital,Andhra Pradesh,Chittoor,517501
"575/1A, 1St Floor, Above Vodafone Show Room, Opposite Municipal Office, Tilak Road, Triupati. []",Vaishnavi Children Hospital,Andhra Pradesh,Chittoor,517501
"Do No:13/5/531/D11, Tuda Office Road, Beside Tuda Office Tata Nagar",Vasan Healthcare Pvt Ltd,Andhra Pradesh,Chittoor,517501
"10-13-533, Reddy and Reddy Colony, Reddy and Reddy Colony Tirupati 517501  Chittoor",Venkataramana Heart And Maternity Hospital,Andhra Pradesh,Chittoor,517501
"6-2-88, Old Maternity Hospital Road, Tirupati",Vision Care Clinic,Andhra Pradesh,Chittoor,517501
"D. No.10-14-576/6, New No.28, Reddy And Reddy Colony,",Elite Hospital,Andhra Pradesh,Chittoor,517502
13-7-936/6 Tuda Road,Maha Hospitals,Andhra Pradesh,Chittoor,517502
"502,B, 1St Floor, Opp Sbi Kt Road",Vennela Super Speciality Eye and Dental Hospital,Andhra Pradesh,Chittoor,517502
"19-4-395, Bairagipatteda North, Tirupathi",Radha Narayan Hospital For Women And Children,Andhra Pradesh,Chittoor,517505
"K. T. Road, Tirupati",Manasa Kidney Foundation,Andhra Pradesh,Chittoor,517507
"V.V.Mahal Road, Tirupathi",Rushh Hospital,Andhra Pradesh,Chittoor,517507
"140, T.Nagar OppositeBhavani Nagar Anjaneyaswamy Temple",S V Poly Clinic,Andhra Pradesh,Chittoor,517507
"Sarojini Devi Layout, Rupa Hospital Road, Tripati",Sneha Super Speciality Hospital,Andhra Pradesh,Chittoor,517507
"6-1-12A, Beside Old Maternity Hospital, Tirupati",Swarna E.N.T Super Speciality Hosptial,Andhra Pradesh,Chittoor,517507
"91,Old M.H.Road,1/1,Tirupathi,Chittoor",Swarnamurtha Hospital,Andhra Pradesh,Chittoor,517507
"3/260, Kabu Street,Upstairs Of Bank Of India, Puttur,",Sri Sai Nursing Home,Andhra Pradesh,Chittoor,517583
"Nagari-517590, Chittoor",C.S.I. Hospital,Andhra Pradesh,Chittoor,517590
"6/420, Babu Agraharam,Babu Agraharam.",Annapurna Hospital ( Ramarao Hospital),Andhra Pradesh,Chittoor,517644
"Door No-7/370, Nagarchipalem, Srikalahasti-517644",Chaitanya Childrens Hospital,Andhra Pradesh,Chittoor,517644
"7-723,,Kothapet.",Eswari Nursing Home,Andhra Pradesh,Chittoor,517644
",Kothapet.",Sai Kanthi Eye Hospital,Andhra Pradesh,Chittoor,517644
"V R Temple Street, Nehru Road,",Vani Priya Hospital,Andhra Pradesh,Chittoor,517644
"3/224, Upendra Complex, Christian Lane",Abhishek Kidney and General Hospital ( Kcm Hospital),Andhra Pradesh,Y.S.R.,516001
"4/460, Nagarajupet, Near Dr. Thulasamma Hospital, Kadapa",Ashwini Childrens Hospital,Andhra Pradesh,Y.S.R.,516001
"6/1565, Sankara Puram Kadapa",Balaji Nursing Home,Andhra Pradesh,Y.S.R.,516001
"1/82,R.S.Road, Y.M.Pally, Kadapa,Gandhi Nagar, Yerramulekapally,Kadapa.",Bharathi Hospital,Andhra Pradesh,Y.S.R.,516001
Opposite Old Municipal Office,G. S. R. Heart Care Centre - Cuddapah,Andhra Pradesh,Y.S.R.,516001
3/374 Railway Station Road Railway Station Road Kadapa 516001  Kadapa,Jyothi Nursing Home,Andhra Pradesh,Y.S.R.,516001
"3/224, Upendra Complex,",K.C.M. Hospital,Andhra Pradesh,Y.S.R.,516001
"2/402, R.S Road, Opposite Csi Church, Kadapa",Likhith Laparoscopic Centre,Andhra Pradesh,Y.S.R.,516001
21/188 and 21/187 Christian Lane Kadapa Kadapa 516001  Kadapa,Palla Krishnaiah Memorial And Nursing Home,Andhra Pradesh,Y.S.R.,516001
"4-370, Infront Of H P Gas Koti Reddy Street, Nagarajupeta",Pasupuleti Nursing Home,Andhra Pradesh,Y.S.R.,516001
"Opp:Municipal Water Tank, Near Old Govt Hospital, Kadapa",Priyatham Clinic,Andhra Pradesh,Y.S.R.,516001
"21/628, Salt Felt Road, Kadapa",Sita Lakshmi Nursing Home,Andhra Pradesh,Y.S.R.,516001
"Beside Sri Rama Temple, Nagaraju Pet",Siva Yogi Childrens Hospital,Andhra Pradesh,Y.S.R.,516001
3/137 Christian Lane Christian Lane Kadapa 516001  Kadapa,Sri Krishna Sahithi Eye Hospital,Andhra Pradesh,Y.S.R.,516001
"Madras Road, Kadapa",Srija Rainbow Childrens Hospital,Andhra Pradesh,Y.S.R.,516001
"7/304, Holmbspet, Produttur (P.O.), . Kadapa",Srinivasa Nursing Home,Andhra Pradesh,Y.S.R.,516001
"17/48, Kapu Street, Jammalamadugu",Tata Reddy Ramalinga Reddy Nursing Home,Andhra Pradesh,Y.S.R.,516001
"4/110, Nagarajupet, Near Womens College",Thulasamma Hospital,Andhra Pradesh,Y.S.R.,516001
"21/16, R.S.Road,Guntha Bazar, Near 7 Roads,OppositeNear Sri Devi Scan Centre.",Tirumala Hospitals,Andhra Pradesh,Y.S.R.,516001
Prodatoor,Vijaya Nursing Home,Andhra Pradesh,Y.S.R.,516001
3/225 Upendra Complex Christian Lane Kadapa 516001  Kadapa,Vurimi Savitramma Cardiac Centre,Andhra Pradesh,Y.S.R.,516001
2/1115-1 Nehrunagar,Deepa Nursing Home,Andhra Pradesh,Y.S.R.,516002
"6/1414, Sankarapuram",Dr G R K R Multi Speciality Hospitals,Andhra Pradesh,Y.S.R.,516002
"Near Petrol Bunk, R. S. Road, Kadapa",Jyothi Nursing Home,Andhra Pradesh,Y.S.R.,516002
"D.No.3/221,Christian Lane,Near 7 Roads.",Remedy Hospital,Andhra Pradesh,Y.S.R.,516002
"6-880, Madras Road Sankarapuram",Sri Satya Sai Hospital,Andhra Pradesh,Y.S.R.,516002
"D.No 1- 81/1, Teja Enclave, R.S.Road, Yerra Mukkapalli Kadapa Dt.- 516004",Himalaya Multi Speciality Hospital,Andhra Pradesh,Y.S.R.,516004
"1/706 - 3, Dwarakanagar",Usha Rani Nursing Home,Andhra Pradesh,Y.S.R.,516004
"10/596 M. G. Road Rly. Kodur, Kadapa",Vishnu Nursing Home,Andhra Pradesh,Y.S.R.,516101
Nagulamanu Street Rajampet Rajampet 516115  Kadapa,Sree Durgaa Nursing Home,Andhra Pradesh,Y.S.R.,516115
"6/133, R S Road Rajampet Rajampet 516115 : Kadapa",Sri Sai Nursing Home,Andhra Pradesh,Y.S.R.,516115
Porumamilla,Our Lady Of Fatima Hospital,Andhra Pradesh,Y.S.R.,516193
"Harinatha Street, Rayachoty,  Kadapa.",Madhavi Nursing Home,Andhra Pradesh,Y.S.R.,516269
Rayachoti,Raviteja Nursing Home,Andhra Pradesh,Y.S.R.,516269
"3/1350, Gandhi Road Opp: Iswarya Complex Proddatur 516360  Kadapa",Abhilash Netra Vidyasala,Andhra Pradesh,Y.S.R.,516360
"Gandhi Road, Proddatur (P.O.), . Kadapa",B. G. R. Hospital,Andhra Pradesh,Y.S.R.,516360
"Near Gabdhi Statue, Gandhi Road, Proddatur",Bhavya Nursing Home,Andhra Pradesh,Y.S.R.,516360
Gandhi Road Proddutur Proddatur 516360  Kadapa,Cnr Nursing Home,Andhra Pradesh,Y.S.R.,516360
"3/1471, Opposite Super Bazar Road, Gandhi Road",Dr. S. V. R. Hospital,Andhra Pradesh,Y.S.R.,516360
"5/1888, Geetha Ashramam Road,  Kaddapa",Jaya Vishnu Nursing Home,Andhra Pradesh,Y.S.R.,516360
"3 / 1467, Holmespet Proddatur",Kalyana Chakravarthy Hospitals - Proddatur,Andhra Pradesh,Y.S.R.,516360
"8/399, Swayam Sevak Road, Proddatur",Kathya Nursing Home,Andhra Pradesh,Y.S.R.,516360
"No. 5/1895, Gandhi Road,Geetha Ashram Street,",Lakshmi Kishore Hospital,Andhra Pradesh,Y.S.R.,516360
"3 - 146 Holmespeta, Proddatur rict - Kadapa",Latha Mutispeciality Hospital - Proddatur,Andhra Pradesh,Y.S.R.,516360
"Dr.Ramalinga Reddy Hospital Campus, Holmeset, Proddatur",Orthopaedic And Maternity Hospital,Andhra Pradesh,Y.S.R.,516360
Sreeramulapeta,Prasad Nursing Home,Andhra Pradesh,Y.S.R.,516360
"8/700, OppositePosina Compound, Gandhi Road,Proddatur",Shree Veja Nursing Home,Andhra Pradesh,Y.S.R.,516360
"4/626,Gandhi Road,Proddatur",Siva Nursing Home,Andhra Pradesh,Y.S.R.,516360
"8/699, Gandhi Road,",Sree Veja Nursing Home,Andhra Pradesh,Y.S.R.,516360
"3/1396, Homes Pet, Proddatur, Near Gandhi Statue,Proddatru Municipality,",Sri Sai Hospitals,Andhra Pradesh,Y.S.R.,516360
"3/1470, Opposite Care Diagnostics Centre, Gandhi Road, Proddatur (P.O.), . Kadapa",Sri Swarna Hospital,Andhra Pradesh,Y.S.R.,516360
"T. B. Road, t. Kaddapa",Swarup Eye Hospital and Laser Center,Andhra Pradesh,Y.S.R.,516360
Nagadastagiri Healthcare Comples 3/1467 Holmespet Proddatur 516360  Kadapa,Vaatsalya Hospital,Andhra Pradesh,Y.S.R.,516360
"Dr S Vijaya M S, Vijaya Eye Hospital, 4/624, Gandhi Road, Proddatur",Vijaya Eye Hospital,Andhra Pradesh,Y.S.R.,516360
"Balarapuram, Pulivendula 516390  Ysr",Dinesh Medical Centre,Andhra Pradesh,Y.S.R.,516390
Holmespet Proddatur Kadapa,Nikhil Nursing Home,Andhra Pradesh,Y.S.R.,516434
"17-48, Kapu Street, Jammalamadugu Kadapa Andra Pradesh",Sree Tati Reddy Ramalinga Reddy Nursing Home,Andhra Pradesh,Y.S.R.,516434
"17/48, Kapu Street Jammalamadugu Kadapa 516434 : Kadapa",Sri Thati Reddy Ramalinga Reddy Nursing Home,Andhra Pradesh,Y.S.R.,516434
"M D O Office Road, Jammalamadugu,Kadapa",Venkata Sai Baradwaja Hospital,Andhra Pradesh,Y.S.R.,516434
"20-1-61, Opposite L. I. C. Building, Main Road",7 Star Superspeciality Hospital,Andhra Pradesh,East Godavari,533001
"13-1-3, Main Road, Kakinada",Apollo Samudra Hospitals,Andhra Pradesh,East Godavari,533001
Kakinada,Bharani Hospital,Andhra Pradesh,East Godavari,533001
"Near Ii Town Police Station,Main Road.",Care Emergency Hospital,Andhra Pradesh,East Godavari,533001
Kakinada,Christian Cancer Center,Andhra Pradesh,East Godavari,533001
P.R.College Road,D V Raju Eye Hospital,Andhra Pradesh,East Godavari,533001
"P R College Road, Opp Govt Hospitals P R College Road Kakinada 533001  East Godavari",Haritha Hospitals,Andhra Pradesh,East Godavari,533001
Kakinada,Kakinada Nursing Home,Andhra Pradesh,East Godavari,533001
"13-1-13, Main Road, Kakinada",Life Line Emergency Hospital,Andhra Pradesh,East Godavari,533001
11-11-3/1 Prabhakara Street Ramaraopeta Kakinada 533001  East Godavari,Raghava 24 Hrs Emergency Hospital,Andhra Pradesh,East Godavari,533001
Rajeswai Medicals 50 Builiding Bhaskar Nagar Jn Kakinada-3,Rajeswari Medicals,Andhra Pradesh,East Godavari,533001
"9-11-130, Gandhi Nagar, Back Side Of Gandhi Statue",Ramya Hospitals,Andhra Pradesh,East Godavari,533001
